Stock Symbol,Current Price,Year Target Price,Year High,Year Low
A,54.96,57.00,55.51,40.26
AA-B,-1,-1,-1,-1
AAN,35.5001,32.8800,36.0000,20.5050
AAT,42.74,46.60,46.38,37.54
AB,22.725,25.000,25.125,20.750
ABBV,65.6651,71.4400,68.1239,55.0623
ABEV,5.74,5.77,6.34,4.70
ABM,43.36,46.00,45.03,31.92
ABR-A,-1,-1,-1,-1
ABR-C,-1,-1,-1,-1
ABT,43.66,48.09,45.84,36.76
AC,33.95,10.87,39.35,27.84
ACCO,14.425,16.250,14.700,9.060
ACM,34.19,42.83,40.72,26.46
ACP,14.07,-1,14.60,11.27
ACV,20.66,36.93,20.91,16.87
ADC,48.88,52.30,51.50,38.59
ADPT,1.41,3.00,73.44,0.90
ADX,14.0661,-1,14.0900,12.0700
AED,26.135,-1,26.680,24.710
AEG,5.13,5.52,5.90,3.36
AEK,25.69,-1,28.38,25.54
AEM,47.71,52.12,60.10,35.05
AEP,68.085,70.060,71.320,57.890
AES,11.265,12.470,13.320,10.490
AET,134.55,138.76,136.50,104.59
AF,20.60,22.38,21.66,14.11
AFA,25.4497,-1,26.8892,24.1577
AFC,25.72,-1,26.28,25.10
AFGE,26.7234,-1,28.2830,24.4300
AFI,19.44,19.50,22.96,14.25
AFS-A,-1,-1,-1,-1
AFS-C,-1,-1,-1,-1
AFS-E,-1,-1,-1,-1
AFSS,25.20,-1,26.81,22.57
AFT,17.42,-1,18.08,15.42
AG,8.18,12.23,19.15,6.62
AGCO,63.47,58.59,64.90,44.68
AGI,7.19,9.57,10.41,5.85
AGM-A,54.80,-1,70.00,34.60
AGM-C,-1,-1,-1,-1
AGN,243.67,270.44,261.27,184.50
AGO,38.30,46.25,42.94,23.42
AGO-E,-1,-1,-1,-1
AGR,43.82,44.93,46.74,35.42
AGU,93.74,107.23,111.88,83.15
AHC,6.15,3.00,7.95,4.75
AHL,52.60,55.00,57.80,43.27
AHL-B,-1,-1,-1,-1
AHP,10.71,13.50,17.64,9.83
AHS,33.02,46.93,44.99,21.24
AHT-A,-1,-1,-1,-1
AHT-E,-1,-1,-1,-1
AIB,25.28,-1,26.79,24.20
AIF,16.5701,21.6800,16.7700,13.8700
AIG.W,-1,-1,-1,-1
AIR,35.88,37.75,38.75,21.78
AIV,44.09,47.31,47.91,39.14
AIV-Z,-1,-1,-1,-1
AIY,25.9888,-1,27.4100,24.7800
AJG,55.76,59.00,57.82,43.90
AJX,13.70,16.25,14.48,12.61
AKO.B,-1,-1,-1,-1
AKR,29.27,35.50,38.01,29.08
AL,38.04,47.15,40.24,24.49
ALDW,9.27,10.75,12.44,7.63
ALEX,46.05,52.50,46.87,32.94
ALJ,12.16,11.39,13.01,5.86
ALL,81.35,86.93,83.09,64.36
ALL-B,-1,-1,-1,-1
ALL-D,-1,-1,-1,-1
ALL-F,-1,-1,-1,-1
ALLY,19.9049,25.0000,23.6200,14.8400
ALR,49.10,48.67,49.42,31.47
ALSN,38.50,41.73,40.02,26.36
ALX,435.00,440.00,451.99,364.01
AMBR,8.105,13.170,12.300,4.500
AME,57.05,59.43,57.56,43.28
AMG,164.63,194.71,177.77,130.48
AMH-A,-1,-1,-1,-1
AMH-C,-1,-1,-1,-1
AMH-E,-1,-1,-1,-1
AMP,128.41,141.70,135.20,84.92
AMT,125.61,136.35,126.36,99.72
AMT-B,-1,-1,-1,-1
AMX,15.43,14.80,15.69,11.02
ANET,139.34,130.27,140.32,60.51
ANFI,5.143,8.000,8.990,4.710
ANH-A,-1,-1,-1,-1
ANH-C,-1,-1,-1,-1
ANTX,51.20,-1,52.58,41.00
AOD,8.595,-1,8.600,6.970
AON,119.94,124.00,121.05,100.55
AP,14.80,16.00,19.22,9.34
APAM,29.125,28.290,33.500,24.475
APC,57.455,81.520,73.330,44.810
APF,15.80,-1,15.85,12.69
APLE,18.8854,21.0000,20.6800,17.3200
APTS,14.15,15.93,15.39,12.02
AR,21.24,31.96,30.50,20.87
ARC,3.6603,6.0000,5.5500,3.0600
ARCX,14.8785,15.8000,17.4020,11.4300
ARE,112.09,118.83,120.96,92.37
ARE-D,-1,-1,-1,-1
ARES,19.65,22.57,23.25,12.08
ARI,19.275,17.570,19.920,15.430
ARL,7.72,-1,9.85,4.44
AROC,11.90,14.79,16.40,5.60
ARP-D,-1,-1,-1,-1
ARR,24.12,19.33,24.62,18.63
ARR-B,-1,-1,-1,-1
ARW,71.17,76.75,75.88,58.09
ASB,25.05,25.08,26.70,15.72
ASB-C,-1,-1,-1,-1
ASG,4.65,3.60,4.78,3.88
ASH,122.90,126.67,128.19,105.50
ASR,188.21,177.87,190.63,131.72
AT,2.475,2.670,2.750,2.125
ATHM,34.61,35.96,36.01,19.32
ATKR,26.24,29.00,27.30,14.17
ATR,79.62,77.17,81.50,70.32
ATU,27.375,0.540,29.800,20.540
ATW,7.90,10.41,15.37,6.12
AUO,4.05,4.77,4.42,2.47
AV,11.69,-1,15.59,9.11
AVAL,7.93,8.84,9.04,7.18
AVD,16.95,19.32,20.00,12.60
AVH,7.1592,7.9700,10.9127,5.0100
AVP,4.77,5.58,6.96,3.52
AVV,25.63,-1,26.95,25.06
AVY,83.27,87.29,83.93,68.55
AWH,52.93,52.25,54.46,33.20
AWK,80.03,83.60,85.24,68.40
AWR,44.57,42.00,46.84,37.28
AXL,17.62,18.56,21.25,12.61
AXON,24.01,27.31,24.49,10.69
AXR,6.14,2.46,8.14,4.04
AXS-C,-1,-1,-1,-1
AXTA,31.46,33.94,33.06,24.27
AYR,23.775,25.080,25.980,18.260
AZO,691.75,848.05,819.54,684.48
